KodKlienta;I;II;III;IV;V;VI;VII;VIII;IX;X;XI;XII
00001;04;WIL;10;10;5;8;14;18;21;17;10;9;4;10
00002;01;ZOL;2;2;1;3;3;4;4;4;2;2;2;2
00003;02;MOK;4;4;2;6;5;7;10;8;4;6;3;3
00004;02;MOK;3;3;3;5;4;7;9;7;4;6;2;2
00005;03;BIE;7;3;7;8;7;10;13;10;6;9;7;7
00006;01;BIA;1;1;2;3;2;3;5;3;2;3;2;2
00007;03;WIL;3;7;6;10;6;10;13;11;9;6;4;7
00008;04;BIE;7;7;7;8;12;18;19;13;14;9;9;4
00009;02;OCH;3;2;4;6;5;6;10;8;6;6;4;3
00010;04;REM;4;6;5;14;13;15;21;18;9;14;8;9
00011;02;PRA;2;3;4;4;4;6;10;6;4;5;4;4
00012;05;URY;6;10;11;16;11;20;27;20;16;14;11;6
00013;04;WES;5;4;6;10;13;16;16;18;8;13;7;5
00014;04;OCH;7;5;10;9;9;14;16;17;10;8;6;8
00015;04;ZOL;10;7;6;11;13;13;21;16;10;12;6;6
00016;04;WES;9;7;7;11;11;12;19;14;11;14;5;4
00017;02;MOK;3;4;4;6;6;6;9;7;6;5;4;2
00018;03;TAR;6;6;7;7;7;10;14;9;8;9;3;5
00019;04;WOL;5;5;8;14;13;15;16;15;8;11;5;10
00020;01;TAR;2;2;1;3;3;3;5;4;2;2;2;2
00021;04;ZOL;4;4;5;10;13;12;19;14;10;9;8;6
00022;03;BIA;7;7;4;7;8;10;15;10;10;6;7;4
00023;04;WOL;6;9;10;8;11;14;18;15;13;8;5;5
00024;03;BIA;5;5;5;6;6;11;14;12;6;9;4;3
00025;01;WLO;2;1;1;2;3;3;5;3;3;3;2;1
00026;01;URU;2;1;1;3;3;3;4;4;2;2;2;2
00027;03;BIA;3;3;6;6;7;10;16;11;8;7;4;4
00028;03;WES;6;3;4;7;8;11;13;12;9;6;6;7
00029;04;REM;4;8;9;11;8;15;21;17;14;12;8;10
00030;04;TAR;6;9;8;13;9;12;18;14;13;10;9;5
00031;02;PRA;2;2;3;4;6;8;9;6;4;6;4;2
